ASIN,SKU,商品名,FBA在庫数,出荷可能在庫,予約済み在庫,仕入中在庫,平均販売速度/日,推定在庫切れまでの日数,最終入庫日,原価/個,FBA保管手数料/月
B001AABBCC,SKU-001,ステンレス水筒 500ml シルバー,145,140,5,0,2.8,50,2024-01-15,1100,580
B001AABBCD,SKU-002,ステンレス水筒 500ml ブラック,98,95,3,50,2.1,45,2024-01-10,1100,392
B002CCDDEE,SKU-003,シリコン製スマホスタンド,210,205,5,0,4.2,49,2024-02-01,300,840
B003EEFFGG,SKU-004,マイクロファイバータオル 3枚組,185,180,5,100,2.9,62,2024-01-20,800,370
B004HHIIJJ,SKU-005,ポータブル充電器 10000mAh,88,85,3,0,2.5,34,2024-01-28,1600,352
B005KKLLMM,SKU-006,LEDデスクライト USB給電,72,70,2,0,2.0,35,2024-02-05,1500,288
B006NNOOPP,SKU-007,折りたたみ傘 コンパクト,195,190,5,0,3.1,61,2024-01-12,700,390
B007QQRRSS,SKU-008,ウォーターボトルブラシ セット,320,315,5,0,3.8,83,2024-02-10,400,640
B008TTUUVV,SKU-009,ワイヤレスイヤホン スポーツ用,56,53,3,100,4.5,12,2024-03-01,2800,224
B009WWXXYY,SKU-010,車用スマホホルダー 磁気式,142,138,4,0,2.2,63,2024-01-25,600,284
B010AABBZZ,SKU-011,ノイズキャンセリングイヤーマフ,95,92,3,0,1.8,51,2024-02-15,1800,380
B011CCDDWW,SKU-012,キッチンスポンジ 10個入り,450,445,5,200,5.8,77,2024-02-20,300,900
B012EEFFVV,SKU-013,アウトドア折りたたみチェア,38,36,2,0,2.2,16,2024-03-10,3500,152
B013GGHHUU,SKU-014,USB-Cハブ 7in1,65,62,3,100,3.5,18,2024-03-05,2900,260
B014IIIJJTT,SKU-015,ゲーミングマウスパッド XL,112,108,4,0,2.8,39,2024-02-25,2200,448
B015KKLLSS,SKU-016,折りたたみショッピングバッグ,285,280,5,0,4.8,58,2024-01-30,250,570
B016MMNNRR,SKU-017,防水スマホケース 汎用,168,165,3,0,3.5,47,2024-02-12,1000,336
B017OOPPQQ,SKU-018,ステンレスストロー 8本セット,225,220,5,0,2.8,79,2024-01-22,300,450
B018QQRRPP,SKU-019,アロマディフューザー USB式,95,92,3,50,2.0,46,2024-02-28,1000,380
B019SSTTUQ,SKU-020,電動鼻毛カッター,115,112,3,0,2.5,45,2024-02-18,600,460
